product_name,status,date_scraped,source
Lisdexamfetamine Dimesylate Capsule,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Lisdexamfetamine Dimesylate Tablet, Chewable",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Lorazepam Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Meperidine Hydrochloride Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Methamphetamine Hydrochloride Tablet,Resolved Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Methotrexate Sodium Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Methylphenidate Film, Extended Release",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Methylphenidate Hydrochloride Tablet, Extended Release",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Methylprednisolone Acetate Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Metronidazole Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Midazolam Hydrochloride Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Morphine Sulfate Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Naltrexone Hydrochloride Tablet,Resolved Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Nitroglycerin Injection,Resolved Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Peginterferon Alfa-2A Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Penicillin G Benzathine Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Promethazine Hydrochloride Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Propranolol Hydrochloride Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Quinapril Hydrochloride Tablet,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Quinapril/Hydrochlorothiazide Tablet,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Remifentanil Hydrochloride Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Rifampin Capsule,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Rifampin Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Rifapentine Tablet, Film Coated",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Riluzole Oral Suspension,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Rocuronium Bromide Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Ropivacaine Hydrochloride Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Sodium Acetate Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Sodium Bicarbonate Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Sterile Water Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Sterile Water Irrigant,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
"Streptozocin Powder, For Solution",Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Sufentanil Citrate Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Technetium Tc-99M Pyrophosphate Kit Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Triamcinolone Acetonide Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Triamcinolone Hexacetonide Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
Valproate Sodium Injection,Currently in Shortage,2026-04-17,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_SearchResults.cfm?T=N&ST=C
